Year,Dog_name,Breed,Gender,Suburb
2008,"ALFIE","JACK RUSSELL TERRIER","DESEXED MALE","NORTH ADELAIDE"
2008,"ALICE","FOX TERRIER WIRE","DESEXED FEMALE","NORTH ADELAIDE"
2008,"ARCHIBALD","GERMAN SHEPHERD DOG CROSS","DESEXED MALE","NORTH ADELAIDE"
2008,"Archie","AIREDALE TERRIER","MALE","NORTH ADELAIDE"
2008,"ARCHIE","PUG","MALE","NORTH ADELAIDE"
2008,"ARCHIE","PUG","MALE","NORTH ADELAIDE"
2008,"ARNIE","STAFFORDSHIRE BULL TERRIER","DESEXED MALE","NORTH ADELAIDE"
2008,"ARTIE","TERRIER - UNKNOWN","DESEXED MALE","ADELAIDE"
2008,"ARTIE","TERRIER - UNKNOWN","DESEXED MALE","ADELAIDE"
2008,"ASTRO","WHIPPET","DESEXED MALE","NORTH ADELAIDE"
2008,"BAILY","MALTESE CROSS","MALE","NORTH ADELAIDE"
2008,"BEAR","GERMAN SHEPHERD DOG","DESEXED MALE","NORTH ADELAIDE"
2008,"BELLA","GOLDEN RETRIEVER","DESEXED FEMALE","ADELAIDE"
2008,"BERTIE","SCHNAUZER MINIATURE","DESEXED MALE","NORTH ADELAIDE"
2008,"BLACKIE","POMERANIAN","MALE","NORTH ADELAIDE"
2008,"BLUSH","CAVALIER KING CHARLES SPANIEL","DESEXED FEMALE","NORTH ADELAIDE"
2008,"BOB","POODLE MINATURE CROSS","DESEXED MALE","NORTH ADELAIDE"
2008,"BOBBY","BICHON FRISE CROSS","DESEXED MALE","NORTH ADELAIDE"
2008,"BOBBY","FOX TERRIER (SMOOTH)","MALE","NORTH ADELAIDE"
2008,"BODHI JODOCUS","LABRADOR RETRIEVER","DESEXED MALE","ADELAIDE"
2008,"BODHI JODOCUS","LABRADOR RETRIEVER","DESEXED MALE","ADELAIDE"
2008,"BODRI","FOX TERRIER (SMOOTH)","MALE","ADELAIDE"
2008,"BOO","STAFFORDSHIRE BULL TERRIER CROSS","DESEXED MALE","NORTH ADELAIDE"
2008,"BRIDGET","LABRADOR RETRIEVER CROSS","FEMALE","NORTH ADELAIDE"
2008,"BUFFY","BOXER CROSS","DESEXED FEMALE","NORTH ADELAIDE"
2008,"BUFFY","MALTESE CROSS","DESEXED FEMALE","NORTH ADELAIDE"
2008,"CALLY","MALTESE CROSS","DESEXED FEMALE","NORTH ADELAIDE"
2008,"CELESTE","FOX TERRIER (SMOOTH)","FEMALE","NORTH ADELAIDE"
2008,"CHARLIE","LAGOTTO ROMAGNOLO","DESEXED MALE","ADELAIDE"
2008,"CHARLIE","WELSH CORGIE CARDIGAN","FEMALE","NORTH ADELAIDE"
2008,"CHARLIE","POODLE MINIATURE","DESEXED MALE","ADELAIDE"
2008,"CHARLIE","WELSH CORGIE PEMBROKE","MALE","NORTH ADELAIDE"
2008,"CHARLIE","MALTESE CROSS","MALE","NORTH ADELAIDE"
2008,"CHARLIOTTE","BERNESE MOUNTAIN DOG","DESEXED FEMALE","NORTH ADELAIDE"
2008,"CHI CHI","SHIH TZU","MALE","ADELAIDE"
2008,"CHLOE","JACK RUSSELL TERRIER CROSS","DESEXED FEMALE","ADELAIDE"
2008,"CLAIRE","CAVALIER KING CHARLES SPANIEL","FEMALE","NORTH ADELAIDE"
2008,"Cleo","AUSTRALIAN KELPIE CROSS","DESEXED FEMALE","NORTH ADELAIDE"
2008,"CLEO","MALTESE CROSS","DESEXED FEMALE","NORTH ADELAIDE"
2008,"COCO","FOX TERRIER (SMOOTH)","DESEXED FEMALE","NORTH ADELAIDE"
2008,"COMET","GREYHOUND","DESEXED MALE","NORTH ADELAIDE"
2008,"COOPER","STAFFORDSHIRE BULL TERRIER","MALE","NORTH ADELAIDE"
2008,"COW BOY","BOSTON TERRIER","MALE","ADELAIDE"
2008,"CRUMPET","FOX TERRIER (SMOOTH)","MALE","NORTH ADELAIDE"
2008,"DAISY","FOX TERRIER (SMOOTH)","DESEXED FEMALE","ADELAIDE"
2008,"DARLA","CROSS BREED UNKNOWN","DESEXED FEMALE","ADELAIDE"
2008,"DIEGO","AMERICAN STAFFORDSHIRE TERRIER","DESEXED MALE","NORTH ADELAIDE"
2008,"DIZZIE","JACK RUSSELL TERRIER","DESEXED FEMALE","NORTH ADELAIDE"
2008,"DOTTI","CROSS BREED UNKNOWN","DESEXED FEMALE","ADELAIDE"
2008,"DOUGAL","CAIRN TERRIER","MALE","ADELAIDE"
2008,"DUDLEY","DALMATION","MALE","NORTH ADELAIDE"
2008,"EDDIE","FOX TERRIER CROSS","DESEXED MALE","NORTH ADELAIDE"
2008,"EDDIE","FOX TERRIER CROSS","DESEXED MALE","NORTH ADELAIDE"
2008,"EDDIE","SCOTTISH TERRIER","MALE","NORTH ADELAIDE"
2008,"ELI CASH","GREYHOUND","MALE","NORTH ADELAIDE"
2008,"ELLA","YORKSHIRE TERRIER CROSS","FEMALE","NORTH ADELAIDE"
2008,"ETOSHA","GREAT DANE","FEMALE","NORTH ADELAIDE"
2008,"EVIE","CAVALIER KING CHARLES SPANIEL","FEMALE","NORTH ADELAIDE"
2008,"FERGUS","MALTESE CROSS","DESEXED MALE","ADELAIDE"
2008,"FIDEL","FOX TERRIER (SMOOTH)","MALE","NORTH ADELAIDE"
2008,"FINN","IRISH TERRIER","MALE","NORTH ADELAIDE"
2008,"FIZZ","COCKER SPANIEL CROSS","DESEXED MALE","NORTH ADELAIDE"
2008,"FRANK","BOSTON TERRIER","DESEXED MALE","ADELAIDE"
2008,"FRECKLES","DALMATION","DESEXED FEMALE","NORTH ADELAIDE"
2008,"GEORGIA","DACHSHUND","DESEXED FEMALE","ADELAIDE"
2008,"GEORGIO","FOX TERRIER (SMOOTH)","MALE","NORTH ADELAIDE"
2008,"GOSSIP","BOSTON TERRIER","FEMALE","ADELAIDE"
2008,"GUS","WEST HIGHLAND WHITE TERRIER CROSS","DESEXED MALE","NORTH ADELAIDE"
2008,"GWYNETH","JACK RUSSELL TERRIER","DESEXED FEMALE","NORTH ADELAIDE"
2008,"GYPSY","CHIHUAHUA","DESEXED FEMALE","ADELAIDE"
2008,"GYPSY","POMERANIAN","FEMALE","NORTH ADELAIDE"
2008,"HARRY","DACHSHUND","MALE","ADELAIDE"
2008,"HARRY","SAMOYED CROSS","DESEXED MALE","ADELAIDE"
2008,"HEIDI","YORKSHIRE TERRIER","DESEXED FEMALE","ADELAIDE"
2008,"HENRY","CAVALIER KING CHARLES SPANIEL","DESEXED FEMALE","NORTH ADELAIDE"
2008,"HETTY","DACHSHUND","DESEXED FEMALE","NORTH ADELAIDE"
2008,"HUGO","DACHSHUND","MALE","ADELAIDE"
2008,"IKE","LABRADOR RETRIEVER","DESEXED MALE","NORTH ADELAIDE"
2008,"ILLY","MALTESE CROSS","DESEXED FEMALE","NORTH ADELAIDE"
2008,"ISABELLA","ROTTWEILER CROSS","DESEXED FEMALE","ADELAIDE"
2008,"ISABELLA","ROTTWEILER CROSS","DESEXED FEMALE","NORTH ADELAIDE"
2008,"IVY","BASSET HOUND","DESEXED FEMALE","NORTH ADELAIDE"
2008,"JACK","AIREDALE TERRIER","DESEXED MALE","NORTH ADELAIDE"
2008,"JAKE","FOX TERRIER (SMOOTH)","DESEXED MALE","NORTH ADELAIDE"
2008,"JASPER","BICHON FRISE","DESEXED MALE","NORTH ADELAIDE"
2008,"JASPER","CHIHUAHUA","DESEXED MALE","ADELAIDE"
2008,"JASPER","CHIHUAHUA","DESEXED MALE","NORTH ADELAIDE"
